**CMR – Beynəlxalq yük qaiməsi № 26KR0495** (2-ci nüsxə — yük alan üçün)

| Xana | Məlumat |
|---|---|
| 1. Yük göndərən | NORDIC SEAFOOD KAZAKHSTAN LLP — Qazaxıstan, Manqıstau vilayəti, Aktau ş., Soyuducu terminal 2. BIN 090240007733 |
| 2. Yük alan | "CASPIAN SEAFOOD" MMC — Azərbaycan, Bakı ş., Nizami r., Aşıq Molla Cümə küç. 12. VÖEN 1400987431 |
| 3. Təhvil yeri | Bakı, Azərbaycan |
| 4. Yüklənmə yeri və tarixi | Aktau, Qazaxıstan — 08.07.2026 |
| 5. Əlavə sənədlər | İnvoys № NSK-2026/0788, 06.07.2026; Baytarlıq sertifikatı № KZ-VET-2026/114677; Mənşə sertifikatı (Norveç) № NO-CO-2026/5512; Konosament 245357 |
| 6–9. Yük | Dondurulmuş Atlantik qızılbalığı, bütöv, başsız (frozen salmon), HS CODE 030313; 926 karton / 18 palet; mənşə — Norveç |
| 11. Çəki | Brutto 19 022 kq / Netto 18 500 kq |
| 12. Həcm | 54,0 m³ |
| 13. Gömrük göstərişləri | Temperatur rejimi −18 °C, data-logger № TL-90277. AQTA baytarlıq nəzarəti və sərhəd baytarlıq keçid məntəqəsində baxış tələb olunur. Ələtdə rəsmiləşdirmə: 13005 g/p |
| 15. Ödəniş | Freight paid |
| 16. Daşıyıcı | "NORDIC COLD CHAIN" LLP — Qazaxıstan, Aktau ş., Promzona 5. Lisenziya KZ/029/3390 |
| 21. Rəsmiləşdirmə | Aktau, 08.07.2026 |
| 23. Sürücü | Bauırjan Əliyev, pasport N8830142 |
| 25. Nəqliyyat | Çəkici: MERCEDES ACTROS + refrijerator yarımqoşqu (Carrier Vector); qeydiyyat nişanları: CC 848 WW / AA 590 V |
| 24. Yükün qəbulu | Doldurulmayıb |

**Möhür və qeydlər:** Baytarlıq Nəzarəti Komitəsi — "Baytarlıq baxışından keçib" 08.07.2026; DGK ixrac icazəsi № 5512/080726/0004311; soyuducu qeydiyyat lenti qoşquya bağlanıb.

**Boş və ya oxunmayan xanalar:** 7, 8, 10, 14, 17, 18, 19, 20, 22, 24.
